city,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009
"Austin, TX",33400,37200,41000,41800,43200,48600,55400,64700,66900,67300,69300,73300
"Bakersfield, CA",28100,31000,33300,35000,36600,37700,38700,40300,42800,46600,47800,52200
"Boulder-Longmont, CO",37600,41700,43900,50500,54200,61200,68700,81400,81900,82000,82500,89100
"Colorado Springs, CO",28400,31900,34100,39100,40200,45300,48000,53600,59700,63400,65500,70800
"Dallas, TX",35600,39700,43900,45500,47000,52300,58200,64400,65000,65100,62200,67600
"Denver, CO",35900,39500,41900,46400,48600,54900,58600,64400,68000,71650,71400,76000
"Detroit, MI",35500,39900,44600,46700,47000,53300,60500,66500,66700,67800,67033,70883
"Fresno, CA",27600,30600,33400,33000,34600,35600,37200,39700,41700,45900,49950,52850
"Houston, TX",38300,41000,42400,42500,45300,49100,54100,58500,59100,61000,57300,63800
"Los Angeles-Long Beach, CA",33200,38000,42000,43000,45200,47800,51300,54500,50300,54450,56500,62100
"New York City, NY",29500,33800,40500,41700,43000,47300,53400,59100,51900,54400,56800,61600
"Oakland, CA",36700,42400,46800,52400,55400,60100,65700,71600,76600,82200,83000,89300
"San Diego, CA",31400,36700,41300,43900,45400,48600,52500,56900,59900,63400,69400,74900
"San Francisco, CA",39800,44000,49900,54300,58800,64400,72400,80100,91500,95000,86500,96800
"San Jose, CA",43100,51100,57700,59300,64200,70200,82600,87300,105500,105500,94500,102500
"Washington, DC-MD-VA",44500,51000,57300,60600,62700,70300,78900,85600,84800,89300,94500,102700
